tone_mean,tone_std,ratio_pos_neg,number_of_articles,polarity_mean,polarity_std,year,month,year_month
1.0330213804766724,2.0668139678364117,0.4,294.0,5.25686203191223,1.9645759465098938,2015,3,2015_3
0.7332051467507272,2.431173988114818,0.5922330097087378,492.0,4.911801636717505,1.7351172822639536,2015,4,2015_4
1.4648087390873026,2.456781572760962,0.2914572864321608,257.0,5.026866408274926,1.7880003432566862,2015,5,2015_5
0.6365368766780886,2.6514556810687555,0.4634146341463415,300.0,5.232685566536668,1.8876190814988791,2015,6,2015_6
0.667444188390868,2.592875452746912,0.6476868327402135,463.0,5.402247857163036,1.8485182150152915,2015,7,2015_7
-0.0071036125664601995,2.222949530262623,1.3917525773195876,696.0,6.037882687842561,1.7349777781274933,2015,8,2015_8
0.6055742493645421,2.09288147798955,0.5650793650793651,493.0,5.121825461921428,2.0302031985426234,2015,9,2015_9
0.6407068342600355,2.1944719183938486,0.46336206896551724,679.0,5.043046414632743,1.9357093280688775,2015,10,2015_10
0.9675165161243787,2.475838098628609,0.45098039215686275,296.0,5.496683600334018,1.902250611641402,2015,11,2015_11
0.6809320338229999,2.5756185973543686,0.45108695652173914,267.0,5.341779749586966,1.9048007873669741,2015,12,2015_12
0.22283572549475847,2.454717618488026,0.6296296296296297,88.0,4.4857503765134314,1.5900223957599235,2016,1,2016_1
0.2721937351980717,2.333993114483721,0.4868421052631579,113.0,4.757230493229777,2.1753783774059494,2016,2,2016_2
0.47664222438795517,2.2172207761634746,0.5537459283387622,477.0,4.952063435555912,1.841324332112522,2016,3,2016_3
0.6605430373393075,2.739893208877088,0.4536082474226804,141.0,5.320412529936743,2.1674584996262722,2016,4,2016_4
1.006083700732843,4.108263179995131,0.4166666666666667,17.0,5.932769989429945,2.0954365248299824,2016,5,2016_5
0.18995335869326074,2.090116462468744,0.38095238095238093,116.0,4.237217884462158,3.933164212746415,2016,6,2016_6
0.11960558516185933,2.709496893442425,0.6,120.0,5.309341127470651,2.418595390821395,2016,7,2016_7
0.5724300497734537,2.2386514891406355,0.5567010309278351,151.0,4.873996189744562,1.7422701807401253,2016,8,2016_8
1.2675264176484355,1.98924605547297,0.36231884057971014,94.0,4.998851444202161,1.5823969631889017,2016,9,2016_9
-0.6968866308101364,2.886746301349905,1.48,62.0,6.194902212935426,2.0794857658124384,2016,10,2016_10
0.31149592856607705,5.280686947448378,0.9411764705882353,66.0,6.848467285333054,3.475224579190594,2016,11,2016_11
0.3250778161474487,2.299366342861379,0.4507042253521127,206.0,4.9525986014484165,1.8654577283393707,2017,1,2017_1
0.6452905597827763,2.6152819525792332,0.6538461538461539,86.0,5.518349349653212,2.1845286658643097,2017,2,2017_2
0.050319242242839034,1.9150350524962336,0.8211382113821138,224.0,4.06470505940277,2.429492586174411,2017,3,2017_3
-0.20721603770200436,1.741543273051822,1.6129032258064515,243.0,4.703154909599257,1.6130520586144308,2017,4,2017_4
-0.6469675291891928,2.9146057222954123,1.0689655172413792,60.0,5.019421691025012,2.014705522055135,2017,5,2017_5
2.649861470447353,3.8942559424403065,0.38666666666666666,104.0,6.473522612107912,2.456515935356859,2017,6,2017_6
-1.6733627442468864,2.2486546333356774,3.7058823529411766,240.0,4.925192244158094,1.7489934005286574,2017,7,2017_7
0.5250297291739585,2.28294192674757,0.7096774193548387,106.0,4.764690076040802,1.9369865113312144,2017,8,2017_8
-0.6186072199575683,2.720365074103233,1.9482758620689655,171.0,5.4362685891344835,2.1735668706128797,2017,9,2017_9
-0.7665787727238077,2.1234317268942204,1.793103448275862,243.0,4.371256129742782,1.9517485042277023,2017,10,2017_10
0.6809731326142406,3.351382325229377,0.5384615384615384,60.0,5.5456397094001355,1.5861770374659498,2017,11,2017_11
-0.8054885772424136,4.337089479510713,0.46296296296296297,79.0,5.919418006438775,3.318289338167379,2017,12,2017_12
-0.45848631932090406,1.9182084362106795,1.63013698630137,192.0,5.048436271370297,1.987063489181279,2018,1,2018_1
0.09312702890377049,1.3290131203530893,0.7907949790794979,428.0,3.9070475075068187,1.5210705056435623,2018,2,2018_2
-0.12694240973038104,2.3796663588147493,0.78125,114.0,4.721299654739823,1.756519460390007,2018,3,2018_3
-0.2071777933906481,2.9974679792312973,1.02,202.0,5.727038977823285,2.6341493440945207,2018,4,2018_4
-1.294585429310691,3.0037484793174243,2.3258426966292136,296.0,6.40476167944371,2.1510357598325505,2018,5,2018_5
-1.2885597809604479,3.3794649277027413,1.1862745098039216,223.0,5.957922174748893,2.491850787516585,2018,6,2018_6
-1.3231790989718821,2.4361324791572105,1.7462686567164178,184.0,5.520358413133648,1.6658296914823427,2018,7,2018_7
0.26408428408071893,2.3439945116778316,0.6486486486486487,61.0,4.9995514094975855,2.056797749986994,2018,8,2018_8
0.8346645328116462,1.456734752931832,0.13636363636363635,50.0,4.556878991377432,1.60851932723212,2018,9,2018_9
-0.9714428742098178,3.1406343328346793,1.2666666666666666,68.0,5.470391257232097,1.7030117354892835,2018,10,2018_10
-1.189097142589454,3.039369625488921,1.6071428571428572,73.0,5.284332176881128,2.05689271347288,2018,11,2018_11
0.9872801147842988,2.0967322368984065,0.6585365853658537,68.0,5.197362260981923,1.7758482828284359,2018,12,2018_12
0.39666578937155733,3.1077455802591034,1.0576923076923077,214.0,5.323032309967362,2.602712301889157,2019,1,2019_1
0.578506523055469,3.4030146710306797,1.0701754385964912,118.0,4.744902658459339,2.645075628086514,2019,2,2019_2
1.342110462191206,3.4065275074931924,0.5606060606060606,103.0,6.5127519616403395,2.5623874282180847,2019,3,2019_3
0.9634605473431578,2.090948138742982,0.40145985401459855,192.0,4.951953026047369,1.658273247458915,2019,4,2019_4
0.9369885551396353,2.873339361600386,0.4175824175824176,129.0,5.627589794912782,1.9273004284013175,2019,5,2019_5
-0.052201486471205004,2.462516439988036,1.4259259259259258,131.0,5.36562438653285,1.520535305479742,2019,6,2019_6
0.31372253194824506,2.8157150840077474,0.8461538461538461,120.0,5.554369683639506,2.0525418583936577,2019,7,2019_7
-1.4481550968263754,3.3508438458895444,1.3660130718954249,362.0,6.014580346964982,2.564549303048378,2019,8,2019_8
-0.9454706842185658,2.8489871166543907,1.2321428571428572,250.0,5.8375723846580385,1.779483458472114,2019,9,2019_9
-0.7674904031846898,2.4684330575549938,1.6774193548387097,166.0,5.2708341729733466,1.8780653492898094,2019,10,2019_10
0.12393742642918748,2.737457901612048,0.6947368421052632,161.0,5.367346478303405,1.862753237800318,2019,11,2019_11
-0.0003034326428201317,1.8843122675954795,1.1458333333333333,103.0,5.058142386215463,1.416417140199266,2019,12,2019_12
-0.756005228143439,2.529324406249765,1.4303797468354431,192.0,5.361841231789904,2.1612293930508697,2020,1,2020_1
-0.21214654648541667,2.3967767043366064,1.0256410256410255,79.0,5.3465218755271415,1.9078557965784546,2020,2,2020_2
-0.5597036607972424,2.5575250621551144,1.558139534883721,110.0,5.379463765629079,1.6944252894199012,2020,3,2020_3
-1.48267395834532,1.8926776028737187,5.303030303030303,208.0,5.622632946907701,1.3576926020926807,2020,4,2020_4
-1.0539178187246825,1.952353978138404,2.111111111111111,56.0,5.925786435558471,1.6122664965148013,2020,5,2020_5
-1.4456760569542162,2.55086551161948,2.84,96.0,5.908084108853186,1.959412054482922,2020,6,2020_6
-0.032022867707960256,4.899161675404375,2.2,32.0,7.523870858949833,2.2397578752602,2020,7,2020_7
